company	platform	board_token	open_jobs
11x AI	NONE	-	-
1X Technologies	NONE	-	-
Abridge	ashby	abridge	47
Ada Support	NONE	-	-
Airtable	greenhouse	airtable	16
Airtable	ashby	airtable	0
Aleph Alpha	ashby	alephalpha	1
All Hands AI	NONE	-	-
AlphaSense	greenhouse	alphasense	232
Ambience Healthcare	ashby	ambiencehealthcare	18
Anduril Industries	greenhouse	andurilindustries	2237
Anysphere	NONE	-	-
Applied Intuition	NONE	-	-
Apptronik	greenhouse	apptronik	76
Archetype AI	NONE	-	-
Arize AI	greenhouse	arizeai	27
Artisan	ashby	artisan	3
AssemblyAI	greenhouse	assemblyai	12
Augment Code	NONE	-	-
Baseten	ashby	baseten	76
Black Forest Labs	greenhouse	blackforestlabs	15
Black Forest Labs	ashby	black-forest-labs	15
Bland AI	NONE	-	-
Braintrust	ashby	braintrust	24
Brex	greenhouse	brex	294
Browserbase	ashby	browserbase	9
Captions	NONE	-	-
Cartesia	ashby	cartesia	31
Cerebras Systems	NONE	-	-
Chaos Industries	greenhouse	chaosindustries	138
Chroma	NONE	-	-
Clay Labs	ashby	claylabs	68
Cleanlab	NONE	-	-
Codeium	NONE	-	-
CodeRabbit	ashby	coderabbit	47
Contextual AI	NONE	-	-
CoreWeave	greenhouse	coreweave	276
Covariant	NONE	-	-
Cresta	greenhouse	cresta	95
Crusoe Energy	NONE	-	-
Cursor	NONE	-	-
Daily.co	NONE	-	-
Datology AI	ashby	datologyai	14
Decagon AI	NONE	-	-
Descript	greenhouse	descript	7
Dexterity	lever	dexterity	32
Dust	ashby	dust	23
Encord	ashby	encord	31
Etched	ashby	etched	106
EvenUp	NONE	-	-
Exa AI	ashby	exa	50
Exa Labs	NONE	-	-
Factory AI	NONE	-	-
Field AI	lever	field-ai	126
Figma	greenhouse	figma	161
Figure AI	greenhouse	figureai	124
Galileo	greenhouse	galileo	12
Goodfire	greenhouse	goodfire	30
Greptile	ashby	greptile	6
Groq	NONE	-	-
Gumloop	ashby	gumloop	9
Harvey AI	NONE	-	-
Hebbia	NONE	-	-
Helsing	greenhouse	helsing	136
HeyGen	greenhouse	heygen	21
Hippocratic AI	NONE	-	-
Hugging Face	NONE	-	-
Ideogram	ashby	ideogram	3
Intercom	greenhouse	intercom	116
Jasper AI	NONE	-	-
Jina AI	NONE	-	-
Krea AI	NONE	-	-
Labelbox	greenhouse	labelbox	9
Labelbox	lever	labelbox	0
Lambda Labs	NONE	-	-
Langfuse	ashby	langfuse	7
Lindy	NONE	-	-
LiveKit	ashby	livekit	35
LlamaIndex	ashby	llamaindex	15
Luma AI	ashby	lumaai	49
Midjourney	ashby	midjourney	17
Mistral Compute	NONE	-	-
Modal Labs	NONE	-	-
Moonshot USA	NONE	-	-
MultiOn	NONE	-	-
Nabla	ashby	nabla	15
Nomic AI	NONE	-	-
Notion Labs	NONE	-	-
Nous Research	ashby	nousresearch	8
Nuro	greenhouse	nuro	104
Observe.AI	greenhouse	observeai	18
OpenHands	ashby	openhands	2
OpenPipe	NONE	-	-
OpenRouter	ashby	openrouter	23
Parloa	greenhouse	parloa	50
Parloa	ashby	parloa	0
Patronus AI	NONE	-	-
Perplexity AI	NONE	-	-
Physical Intelligence	ashby	physicalintelligence	33
Pika	ashby	pika	10
Pinecone	ashby	pinecone	7
Plaid	ashby	plaid	104
Plaid	lever	plaid	0
PolyAI	greenhouse	polyai	13
Poolside	ashby	poolside	15
Predibase	NONE	-	-
Prime Intellect	ashby	primeintellect	25
Qdrant	NONE	-	-
Rain AI	NONE	-	-
Ramp	ashby	ramp	136
Reflection AI	ashby	reflectionai	53
Regard	ashby	regard	6
Relevance AI	ashby	relevanceai	11
Replicate	NONE	-	-
Resemble AI	NONE	-	-
Retell AI	ashby	retell-ai	37
Retool	NONE	-	-
Rogo	ashby	rogo	77
RunLLM	NONE	-	-
Sakana AI	NONE	-	-
SambaNova Systems	greenhouse	sambanovasystems	60
Second Front	NONE	-	-
Serve Robotics	ashby	serverobotics	42
Shield AI	ashby	shield-ai	435
Shield AI	lever	shieldai	434
Skild AI	NONE	-	-
Snorkel AI	greenhouse	snorkelai	42
Sourcegraph	NONE	-	-
Stability AI	greenhouse	stabilityai	5
Stack AI	ashby	stack-ai	20
Standard Bots	ashby	standardbots	37
Stripe	greenhouse	stripe	575
Suno	ashby	suno	62
SuperAnnotate	lever	superannotate	5
Supermaven	NONE	-	-
Synthesia	ashby	synthesia	59
Tabnine	NONE	-	-
Tavily	greenhouse	tavily	13
Tavily	ashby	tavily	18
Tenstorrent	greenhouse	tenstorrent	138
Typeface	greenhouse	typeface	14
Unify GTM	NONE	-	-
V7 Labs	NONE	-	-
Vannevar Labs	greenhouse	vannevarlabs	24
Viz.ai	NONE	-	-
Voyage AI	NONE	-	-
Waabi	lever	waabi	70
Waymo	greenhouse	waymo	367
Weaviate	ashby	weaviate	1
Weights & Biases	NONE	-	-
Windsurf	NONE	-	-
Wordware	NONE	-	-
Writer	ashby	writer	50
You.com	greenhouse	youcom	5
Zapier	ashby	zapier	9
Zoox	lever	zoox	239
