run_id,date,sources,queries,total_scanned,new_jobs_found,duplicates_skipped,strong_fits,notes,
lhp_20260822_0202,2026-08-22,linkedin_posts,4,10,3,0,2,new linkedin hiring posts (Databricks inference engineer,"[' Fireworks president+recruiter); search backends partially degraded (Exa rate-limited', ' Brave token invalid)']"
lhp_playwright_20260822_0205,2026-08-22,linkedin_feed_playwright_mcp,feed scroll 10x,53,5,3,4,"First Playwright feed pass: Apple(1st,recruiter), Cohere, Toyota, Meta/IG, Tesla",
wf_20260822_0226,2026-08-22,wellfound,6,0,0,0,0,"query='agentic AI engineer', visited_new=0"
wf_20260822_0230,2026-08-22,wellfound,1,6,3,3,0,query='llm-engineer' visited_new=3 errors=0
wf_20260822_0239,2026-08-22,wellfound,1,118,5,113,0,queries=['llm-engineer']; hard_filters=ai+us+150k; errors=0
wf_20260822_0243,2026-08-22,wellfound,1,203,5,198,0,queries=['llm-engineer']; hard_filters=ai+us+150k; errors=0
wf_20260822_0246,2026-08-22,wellfound,1,23,6,17,0,queries=['machine-learning-engineer']; hard_filters=ai+us+150k; errors=0
wf_20260822_0249,2026-08-22,wellfound,1,17,8,9,0,queries=['ai-engineer']; hard_filters=ai+us+150k; errors=0
stale_sweep_20260822,2026-08-22,"greenhouse_api(7 boards: togetherai,anthropic,scaleai,youcom,xai,databricks,comet)",73 stale_flag rows verified via board listings (1 req/board) + 1 direct job check,73,0,0,0,"verified_open=1 (youcom_senior_search_engineer_4904872008), expired=72, unknown=0; last_verified=2026-08-22 on all",
jd_refetch_20260822,2026-08-22,greenhouse_api?content=true,"3 missing-JD rows (anthropic x2, databricks x1)",3,0,0,0,"3/3 refetched OK, JD files + hash + description_file populated; scores: anthropic startups 43.8, partnerships 43.6, databricks gtm 34.7",
disc_togetherai_20260822,2026-08-22,greenhouse_api(togetherai)?content=true,campaigns: ai_infrastructure + post_training_model_improvement,64,8,20,0,"44 new source_ids; 36 filtered out (non-US/India/Singapore/Amsterdam/London locations, support/ops roles); 8 rows added, all scored LOW_PRIORITY (top: Staff MLE Voice AI 37.4)",
disc_cohere_20260822,2026-08-22,ashby_posting_api(cohere),greenhouse probe cohere/cohere-1/cohereinc/cohere-1 all 404; careers page revealed jobs.ashbyhq.com/cohere,150,24,0,0,"150 listed jobs; 126 filtered (non-US/Canada, interns, annotation, EM, security-clearance, non-tech); 24 rows added, all LOW_PRIORITY (top: Sr Research Scientist Model Eval 38.7)",
systemic_fix_20260822,2026-08-22,local pipeline fix,scorer JD-file reading + summary backfill + HTML-entity repair + Wellfound JD normalization,167,0,0,10,"score_jobs_v2 now reads description_file bodies (was metadata-only); 165/165 open rows have key_requirements/matching_strengths/main_gaps; 11 files repaired (escaped-HTML bug), 8 Wellfound files normalized; post-fix actions: 10 OPTIMISTIC / 169 STRETCH / 60 LOW_PRIORITY",
li_sweep_20260822_01,2026-08-22,linkedin_guest_api+linkedin_logged_in,"8 profile-guided queries (RE/ML, AI Res Sci, Post-Training LLM, LLM FT, AI Agent, Applied Sci, MLE/LLM, LLM Eval)",109,92,17,6,"8 guided queries x2 endpoints (guest API + logged-in); US+past-week filter; 109 unique cards, 17 dupes vs jobs.csv, 92 new JDs ingested+scored"
l1_sec_sweep_20260822_01,2026-08-22,linkedin_guest_api+linkedin_people_search,"6 L1 security companies (PAN, CrowdStrike, Cisco, Cloudflare, Zscaler, SentinelOne) x AI/ML queries; connections: 1st/GT-alum/Fortinet-overlap per company",46,27,19,1,"L1 security-AI lane: 26 JDs ingested+scored (CrowdStrike Agentic AI RS = APPLY/L2 74.3, Cisco AI RS II = OPTIMISTIC/L3 67.7, Cisco Sr AI Researcher L3 62.7, Cloudflare Sr MLE L3 58.9); 21 contacts added with P0-P3; 6 outreach drafts pending approval"
l1_career_sites_20260822_01,2026-08-22,oracle_hcm+workday+greenhouse+phenom,Official ATS sweep: Fortinet Oracle HCM CX_2001 API; PAN/CrowdStrike Workday wd5; Cloudflare/Zscaler/SentinelOne(sentinellabs) Greenhouse boards-api; Cisco Phenom,80,55,dupes vs linkedin-discovered rows,4,Authoritative career-site ingestion: 55 L1-lane roles from official ATS APIs (Fortinet 8 incl Applied AI Agent posted yesterday; SentinelOne 12 via sentinellabs board; Zscaler 11; CrowdStrike/PAN workday; Cisco phenom)
lhp_20260822_0231,2026-08-22,linkedin_posts,1 feed pass + 3 web queries (2 Exa queries failed - rate limit),17,4,0,2,"Feed: 7 signal posts captured, 3 rejected by fit gate; web: 10 results, 6 rejected; new leads: Ted Cui/Together AI (high), Sam Corzine/Cohere Applied ML HM (high), Ghotra/Cohere infra, Applied Intuition company post"
wf_20260822_0808,2026-08-22,wellfound,2,279,10,269,0,"queries=['applied-scientist', 'ai-engineer']; hard_filters=ai+us+150k; errors=0"
lhp_20260822_1433,2026-08-22,linkedin_posts,"1 feed pass (10 scrolls, 10 signal posts) + 6 web queries (4 failed: Exa rate limit/shape)",10,3,0,3,"New: Henry Wang/Sixtyfour founder (high, agentic), Victor de Murat/Apple Sr MLE HM, Jonathan Lorraine/NVIDIA 2027 research internships; web: 0 new (PANW Sr-Staff roles rejected seniority)"
l2_labs_20260822_01,2026-08-22,ashby+greenhouse official boards,"Mistral(ashby mistral.ai), Cohere(ashby), Together(gh), AI2(gh thealleninstitute), Reka(ashby Reka), Liquid(ashby liquid-ai), Magic.dev(ashby magic.dev), Stability(gh), ElevenLabs(ashby)",93,79,~30 dupes vs existing cohere/together rows,2,47 L2 lab roles ingested from official ATS APIs; 38 with full JD text; Essential AI board empty (post-Vaswani); Fireworks GH board moved
stale_sweep_20260823,2026-08-23,greenhouse_boards-api(9 boards)+ashby_posting-api(5 boards),126 old open rows,126,0,0,0,"verified 125/126 still live; xai_ai_tutor_polish_5090218007 -> expired; 121 linkedin/wellfound/oracle_hcm/workday old rows NOT checked (no cheap API); last_verified=2026-08-23 on all 126",
labs_deep_sweep_20260823,2026-08-23,greenhouse_boards-api?content=true(3)+ashby_posting-api?includeCompensation(5),8 boards full enumeration,649,179,470 dup-skipped,0,"649 live postings fetched w/ JD content; 139 matched existing; 510 net-new -> 179 passed family+noise filter and ingested with JD files+hashes; 113 existing lab rows verified still live; 0 closed (earlier 47-closed signal was a source_id prefix matching bug, corrected); skipped: Distyl/Cartesia/Hebbia/LangChain are LinkedIn-sourced, no API",
