section,item,next_command
① APPLY NOW,"  [ 71.1] Deloitte — Research Engineer — Post-Training & Small Language Models (SLMs), Healthcare AI",python scripts/apply_pipeline.py li_deloitte_research_engineer_post_training_small_la_4427044959 --url https://www.linkedin.com/jobs/view/4427044959/
① APPLY NOW,  [ 68.9] Cisco — AI Research Scientist II (Full Time)- United States ENG/CPO/AISWP ETR,python scripts/apply_pipeline.py cisco_ai_research_scientist_ii_full_time_united_sta_4457502830 --url https://www.linkedin.com/jobs/view/4457502830/
① APPLY NOW,"  [ 67.0] OpenAI — Research Engineer, Codex",python scripts/apply_pipeline.py li_openai_research_engineer_codex_4417166196 --url https://www.linkedin.com/jobs/view/4417166196/
① APPLY NOW,"  [ 62.7] scale_ai — Senior/Staff Machine Learning Research Engineer, General Agents, Enterprise GenAI",python scripts/apply_pipeline.py scale_ai_senior_staff_machine_learning_research_engineer_ge_4658162005 --url https://job-boards.greenhouse.io/scaleai/jobs/4658162005
① APPLY NOW,  [ 62.1] scale_ai — Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scaleai_frontier_agents_engineer_applied_ai_4720573005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720573005
① APPLY NOW,"  [ 61.3] LangChain — Research Engineer, LangSmith Engine",python scripts/apply_pipeline.py li_langchain_research_engineer_langsmith_engine_4453736138 --url https://www.linkedin.com/jobs/view/4453736138/
① APPLY NOW,  [ 61.1] scale_ai — Staff/Senior Machine Learning Research Engineer,python scripts/apply_pipeline.py scale_ai_staff_senior_machine_learning_research_engineer_4714527005 --url https://job-boards.greenhouse.io/scaleai/jobs/4714527005
① APPLY NOW,  [ 60.7] Mistral AI — AI Scientist - Agentic Engineering,python scripts/apply_pipeline.py mistral_ai_ai_scientist_agentic_engineering_ash_f090ef1d --url https://jobs.ashbyhq.com/mistral.ai/f090ef1d-372e-40dc-bf46-ce0bf2850204
① APPLY NOW,"  [ 60.6] anthropic — Research Engineer, Code RL (Reinforcement Learning)",python scripts/apply_pipeline.py anthropic_research_engineer_code_rl_reinforcement_learning_5254364008 --url https://job-boards.greenhouse.io/anthropic/jobs/5254364008
① APPLY NOW,  [ 60.6] scale_ai — Senior Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scaleai_senior_frontier_agents_engineer_applied_ai_4720478005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720478005
③ OUTREACH DUE,"Alia Insignares @ CrowdStrike [Recruiter] (approved, unsent)",python scripts/connection_queue.py record-sent cr_20260823_e8eec6 --status sent_with_note
③ OUTREACH DUE,"Lin Lee Cheong @ Scale AI [hiring_manager] (approved, unsent)",python scripts/connection_queue.py record-sent cr_20260823_077e7e --status sent_with_note
⑤ FRESH JOBS,"  [ 44.7] Capital One — Applied Researcher II (AI Foundations, LLM Core and Agentic AI)",python scripts/apply_pipeline.py li_4458112360 --url https://www.linkedin.com/jobs/view/4458112360/
⑤ FRESH JOBS,"  [ 44.1] Innodata Inc. — AI/ML Research Engineer, LLM Post-Training & Evaluation",python scripts/apply_pipeline.py innodata_inc_ai_ml_research_engineer_llm_post_training_evaluation_4429376527 --url https://www.linkedin.com/jobs/view/4429376527/
⑤ FRESH JOBS,"  [ 41.0] Amazon — Applied Scientist II - Gen AI & LLM, PXT",python scripts/apply_pipeline.py amazon_applied_scientist_ii_gen_ai_llm_pxt_4455940114 --url https://www.linkedin.com/jobs/view/4455940114/
⑤ FRESH JOBS,"  [ 40.5] Capital One — Applied Researcher I (AI Foundations, LLM Customization, Finetuning, Reinforcement Learning)",python scripts/apply_pipeline.py capital_one_applied_researcher_i_ai_foundations_llm_customization_finetuning_reinforcement_learning_4397326959 --url https://www.linkedin.com/jobs/view/4397326959/
⑤ FRESH JOBS,"  [ 40.5] NVIDIA — Senior Quantum Applied Research Scientist, Calibration and Decoding",python scripts/apply_pipeline.py nvidia_senior_quantum_applied_research_scientist_calibration_and_decoding_4425538708 --url https://www.linkedin.com/jobs/view/4425538708/
⑤ FRESH JOBS,  [ 39.9] Catapult — Agentic AI Engineer,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4454703754/
⑤ FRESH JOBS,  [ 39.9] TekValue IT Solutions — Agentic AI Engineer,python scripts/apply_pipeline.py tekvalue_it_solutions_agentic_ai_engineer_4457345535 --url https://www.linkedin.com/jobs/view/4457345535/
