section,item,next_command
① APPLY NOW,"  [ 71.1] Deloitte — Research Engineer — Post-Training & Small Language Models (SLMs), Healthcare AI",python scripts/apply_pipeline.py li_deloitte_research_engineer_post_training_small_la_4427044959 --url https://www.linkedin.com/jobs/view/4427044959/
① APPLY NOW,  [ 68.9] Cisco — AI Research Scientist II (Full Time)- United States ENG/CPO/AISWP ETR,python scripts/apply_pipeline.py cisco_ai_research_scientist_ii_full_time_united_sta_4457502830 --url https://www.linkedin.com/jobs/view/4457502830/
① APPLY NOW,"  [ 67.0] OpenAI — Research Engineer, Codex",python scripts/apply_pipeline.py li_openai_research_engineer_codex_4417166196 --url https://www.linkedin.com/jobs/view/4417166196/
① APPLY NOW,"  [ 62.7] scale_ai — Senior/Staff Machine Learning Research Engineer, General Agents, Enterprise GenAI",python scripts/apply_pipeline.py scale_ai_senior_staff_machine_learning_research_engineer_ge_4658162005 --url https://job-boards.greenhouse.io/scaleai/jobs/4658162005
① APPLY NOW,  [ 62.1] scale_ai — Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scaleai_frontier_agents_engineer_applied_ai_4720573005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720573005
① APPLY NOW,"  [ 61.3] LangChain — Research Engineer, LangSmith Engine",python scripts/apply_pipeline.py li_langchain_research_engineer_langsmith_engine_4453736138 --url https://www.linkedin.com/jobs/view/4453736138/
① APPLY NOW,  [ 61.1] scale_ai — Staff/Senior Machine Learning Research Engineer,python scripts/apply_pipeline.py scale_ai_staff_senior_machine_learning_research_engineer_4714527005 --url https://job-boards.greenhouse.io/scaleai/jobs/4714527005
① APPLY NOW,  [ 60.7] Mistral AI — AI Scientist - Agentic Engineering,python scripts/apply_pipeline.py mistral_ai_ai_scientist_agentic_engineering_ash_f090ef1d --url https://jobs.ashbyhq.com/mistral.ai/f090ef1d-372e-40dc-bf46-ce0bf2850204
① APPLY NOW,"  [ 60.6] anthropic — Research Engineer, Code RL (Reinforcement Learning)",python scripts/apply_pipeline.py anthropic_research_engineer_code_rl_reinforcement_learning_5254364008 --url https://job-boards.greenhouse.io/anthropic/jobs/5254364008
① APPLY NOW,  [ 60.6] scale_ai — Senior Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scaleai_senior_frontier_agents_engineer_applied_ai_4720478005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720478005
③ OUTREACH DUE,"Lin Lee Cheong @ Scale AI [hiring_manager] (approved, unsent)",python scripts/connection_queue.py record-sent cr_20260823_077e7e --status sent_with_note
⑤ FRESH JOBS,"  [ 62.7] scale_ai — Senior/Staff Machine Learning Research Engineer, General Agents, Enterprise GenAI",python scripts/apply_pipeline.py scale_ai_senior_staff_machine_learning_research_engineer_ge_4658162005 --url https://job-boards.greenhouse.io/scaleai/jobs/4658162005
⑤ FRESH JOBS,  [ 61.1] scale_ai — Staff/Senior Machine Learning Research Engineer,python scripts/apply_pipeline.py scale_ai_staff_senior_machine_learning_research_engineer_4714527005 --url https://job-boards.greenhouse.io/scaleai/jobs/4714527005
⑤ FRESH JOBS,  [ 60.7] Mistral AI — AI Scientist - Agentic Engineering,python scripts/apply_pipeline.py mistral_ai_ai_scientist_agentic_engineering_ash_f090ef1d --url https://jobs.ashbyhq.com/mistral.ai/f090ef1d-372e-40dc-bf46-ce0bf2850204
⑤ FRESH JOBS,"  [ 57.2] scale_ai — Machine Learning Systems Research Engineer, Agent Post-training - Enterprise GenAI",python scripts/apply_pipeline.py scale_ai_machine_learning_systems_research_engineer_agent_p_4625341005 --url https://job-boards.greenhouse.io/scaleai/jobs/4625341005
⑤ FRESH JOBS,  [ 56.1] scale_ai — Staff Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scale_ai_staff_frontier_agents_engineer_applied_ai_4720487005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720487005
⑤ FRESH JOBS,"  [ 54.8] scale_ai — Machine Learning Research Engineer, Agents - Enterprise GenAI",python scripts/apply_pipeline.py scale_ai_machine_learning_research_engineer_agents_enterpri_4625344005 --url https://job-boards.greenhouse.io/scaleai/jobs/4625344005
⑤ FRESH JOBS,"  [ 53.9] scale_ai — Staff Machine Learning Research Engineer, Agent Post-training - Enterprise GenAI",python scripts/apply_pipeline.py scale_ai_staff_machine_learning_research_engineer_agent_pos_4625337005 --url https://job-boards.greenhouse.io/scaleai/jobs/4625337005
