section,item,next_command
① APPLY NOW,"  [ 71.1] Deloitte — Research Engineer — Post-Training & Small Language Models (SLMs), Healthcare AI",python scripts/apply_pipeline.py li_deloitte_research_engineer_post_training_small_la_4427044959 --url https://www.linkedin.com/jobs/view/4427044959/
① APPLY NOW,  [ 68.9] Cisco — AI Research Scientist II (Full Time)- United States ENG/CPO/AISWP ETR,python scripts/apply_pipeline.py cisco_ai_research_scientist_ii_full_time_united_sta_4457502830 --url https://www.linkedin.com/jobs/view/4457502830/
① APPLY NOW,"  [ 67.0] OpenAI — Research Engineer, Codex",python scripts/apply_pipeline.py li_openai_research_engineer_codex_4417166196 --url https://www.linkedin.com/jobs/view/4417166196/
① APPLY NOW,"  [ 64.2] scale_ai — Senior/Staff Machine Learning Research Engineer, General Agents, Enterprise GenAI",python scripts/apply_pipeline.py scale_ai_senior_staff_machine_learning_research_engineer_ge_4658162005 --url https://job-boards.greenhouse.io/scaleai/jobs/4658162005
① APPLY NOW,  [ 62.1] scale_ai — Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scaleai_frontier_agents_engineer_applied_ai_4720573005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720573005
① APPLY NOW,  [ 61.5] scale_ai — Senior Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scaleai_senior_frontier_agents_engineer_applied_ai_4720478005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720478005
① APPLY NOW,"  [ 61.3] LangChain — Research Engineer, LangSmith Engine",python scripts/apply_pipeline.py li_langchain_research_engineer_langsmith_engine_4453736138 --url https://www.linkedin.com/jobs/view/4453736138/
① APPLY NOW,  [ 61.0] scale_ai — Staff/Senior Machine Learning Research Engineer,python scripts/apply_pipeline.py scale_ai_staff_senior_machine_learning_research_engineer_4714527005 --url https://job-boards.greenhouse.io/scaleai/jobs/4714527005
① APPLY NOW,  [ 60.7] Mistral AI — AI Scientist - Agentic Engineering,python scripts/apply_pipeline.py mistral_ai_ai_scientist_agentic_engineering_ash_f090ef1d --url https://jobs.ashbyhq.com/mistral.ai/f090ef1d-372e-40dc-bf46-ce0bf2850204
① APPLY NOW,"  [ 60.6] anthropic — Research Engineer, Code RL (Reinforcement Learning)",python scripts/apply_pipeline.py anthropic_research_engineer_code_rl_reinforcement_learning_5254364008 --url https://job-boards.greenhouse.io/anthropic/jobs/5254364008
③ OUTREACH DUE,"Alia Insignares @ CrowdStrike [Recruiter] (approved, unsent)",python scripts/connection_queue.py record-sent cr_20260823_e8eec6 --status sent_with_note
③ OUTREACH DUE,"Lin Lee Cheong @ Scale AI [hiring_manager] (approved, unsent)",python scripts/connection_queue.py record-sent cr_20260823_077e7e --status sent_with_note
⑤ FRESH JOBS,"  [ 42.9] Scale AI — Machine Learning Research Scientist, Evaluations",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4459623309/
⑤ FRESH JOBS,"  [ 42.9] Scale AI — Machine Learning Research Scientist, Evaluations",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4459634229/
⑤ FRESH JOBS,  [ 41.2] Reflection — Forward Deployed Engineer - LLM Post-training,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4404241852/
⑤ FRESH JOBS,"  [ 40.5] BrightAI — Senior AI Engineer – LLM, RAG",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4281883251/
⑤ FRESH JOBS,  [ 40.0] CT19 — Founding Engineer - Post-training LLM's,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4457310283/
⑤ FRESH JOBS,"  [ 40.0] Scale AI — Machine Learning Research Scientist, Post-Training",python scripts/apply_pipeline.py scale_ai_machine_learning_research_scientist_post_training_gh_4528009005 --url https://job-boards.greenhouse.io/scaleai/jobs/4528009005
⑤ FRESH JOBS,"  [ 39.4] Microsoft — Member of Technical Staff - AI Evaluations, Health",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4459166948/
⑤ FRESH JOBS,"  [ 39.4] Scale AI — Machine Learning Research Scientist, Evaluations",python scripts/apply_pipeline.py scale_ai_machine_learning_research_scientist_evaluations_gh_4728014005 --url https://job-boards.greenhouse.io/scaleai/jobs/4728014005
⑤ FRESH JOBS,  [ 39.0] Accenture Federal Services — Generative AI Applications Engineer (Agents & RAG),python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4394964303/
⑤ FRESH JOBS,  [ 38.8] EvolutionIQ — Senior AI / ML Engineer (LLMs),python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4457632927/
⑤ FRESH JOBS,"  [ 38.6] Microsoft AI — Member of Technical Staff - AI Evaluations, Health",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4459072205/
⑤ FRESH JOBS,"  [ 38.4] Air — Senior AI Engineer, Agentic Interactions",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4447993602/
⑤ FRESH JOBS,  [ 38.4] Beacon Hill — 100 % Remote - AI Engineer - Generative AI / Agentic AI,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4457659937/
⑤ FRESH JOBS,  [ 38.3] JPMorganChase — Lead Machine Learning Engineer - Generative AI and Agent Platforms,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4440952332/
⑤ FRESH JOBS,"  [ 38.1] Enigma — AI Research Scientist | Machine Learning | Deep Learning |Natural Language Processing | LLM | Hybrid | San Jose, CA",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4456895734/
